county,qtr_calfresh_hh_ly,qtr_calfresh_hh_prev_qtr,qtr_calfresh_hh_curr_qtr,qtr_calfresh_pers_ly,qtr_calfresh_pers_prev_qtr,qtr_calfresh_pers_curr_qtr,qtr_medical_rcv_calfresh_ly,qtr_medical_rcv_calfresh_prev_qtr,qtr_medical_rcv_calfresh_curr_qtr,qtr_calfresh_rcv_medical_ly,qtr_calfresh_rcv_medical_prev_qtr,qtr_calfresh_rcv_medical_curr_qtr,qtr_pct_calfresh_rcv_medical_ly,qtr_pct_calfresh_rcv_medical_prev_qtr,qtr_pct_calfresh_rcv_medical_curr_qtr,qtr_timeliness_30d_ly,qtr_timeliness_30d_prev_qtr,qtr_timeliness_30d_curr_qtr,qtr_timeliness_exp_ly,qtr_timeliness_exp_prev_qtr,qtr_timeliness_exp_curr_qtr,qtr_active_err_rt_ly,qtr_active_err_rt_prev_qtr,qtr_active_err_rt_curr_qtr,qtr_30d_churn_reapps_ly,qtr_30d_churn_reapps_prev_qtr,qtr_30d_churn_reapps_curr_qtr,qtr_90d_churn_reapps_ly,qtr_90d_churn_reapps_prev_qtr,qtr_90d_churn_reapps_curr_qtr,qtr_30d_churn_recerts_ly,qtr_30d_churn_recerts_prev_qtr,qtr_30d_churn_recerts_curr_qtr,qtr_90d_churn_recerts_ly,qtr_90d_churn_recerts_prev_qtr,qtr_90d_churn_recerts_curr_qtr,ann_hh_2yr_prior,ann_hh_1yr_prior,ann_hh_yr_of_report,ann_pers_2yr_prior,ann_pers_1yr_prior,ann_pers_yr_of_report,ann_elderly_2yr_prior,ann_elderly_1yr_prior,ann_elderly_yr_of_report,ann_children_2yr_prior,ann_children_1yr_prior,ann_children_yr_of_report,ann_child_only_hh_2yr_prior,ann_child_only_hh_1yr_prior,ann_child_only_hh_yr_of_report,ann_child_only_pers_2yr_prior,ann_child_only_pers_1yr_prior,ann_child_only_pers_yr_of_report,ann_esl_2yr_prior,ann_esl_1yr_prior,ann_esl_yr_of_report,ann_tot_pop_2yr_prior,ann_tot_pop_1yr_prior,ann_tot_pop_yr_of_report,ann_elderly_over60_2yr_prior,ann_elderly_over60_1yr_prior,ann_elderly_over60_yr_of_report,ann_children_less18_2yr_prior,ann_children_less18_1yr_prior,ann_children_less18_yr_of_report,ann_tot_pop_greater5_2yr_prior,ann_tot_pop_greater5_1yr_prior,ann_tot_pop_greater5_yr_of_report,ann_tot_esl_greater5_2yr_prior,ann_tot_esl_greater5_1yr_prior,ann_tot_esl_greater5_yr_of_report,ann_medical_2yr_prior,ann_medical_1yr_prior,ann_medical_yr_of_report,ann_ssi_rcpt_2yr_prior,ann_ssi_rcpt_1yr_prior,ann_ssi_rcpt_yr_of_report,ann_unempl_pct_2yr_prior,ann_unempl_pct_1yr_prior,ann_unempl_pct_yr_of_report,ann_calfresh_eligibles_2yr_prior,ann_calfresh_eligibles_1yr_prior,ann_calfresh_eligibles_yr_of_report,ann_eligibles_excl_undocs_ssi_2yr_prior,ann_eligibles_excl_undocs_ssi_1yr_prior,ann_eligibles_excl_undocs_ssi_yr_of_report,year,month,quarter,fulldate
California,1942841.0,2046381.0,2070802.0,4221057.0,4393812.0,4476030.0,0.402148413687,0.426177847821,0.411569425467,3287488.0,3853453.0,3911196.0,0.817534729345,0.90381432359,0.909657698002,0.972756475836,0.958775613565,0.970346444491,0.918792727467,0.924438087454,0.927846704166,0.0296,0.0486,0.0511,0.1203,0.1196,0.1255,0.2055,0.2004,0.2024,0.0794,0.1132,0.1141,0.1006,0.1413,0.1451,1843348.0,1942841.0,2070803.0,4074650.0,4221057.0,4476031.0,141407.0,176557.0,234156.0,2184693.0,2272684.0,2226004.0,372370.0,341378.0,320176.0,,,,1268115.0,1314549.0,1337933.0,37826160.0,38202206.0,38548204.0,6506533.98504,6820715.0,7071818.0,9170525.64916,9150549.08111,9157600.21082,,,,3775905.0,3750293.0,3760183.0,7619341.0,7280074.0,,1176286.0,1187606.0,1193089.0,0.104,0.089,0.075,7121279.81808,7166748.68844,6980318.99332,0.57,0.584,0.634,2014,SEP,3.0,2014-09-01
Alameda,62875.0,64208.0,64020.0,125835.0,127457.0,125434.0,0.345221555366,0.359283386572,0.353389040105,97900.0,111463.0,111396.0,0.753616048404,0.858061138867,0.859265201595,0.886974789916,0.857785778578,0.884274193548,0.871384496722,0.898579234973,0.869496544916,0.0316,0.0309,0.0401,0.0811,0.1004,0.1232,0.1774,0.1962,0.2117,0.0491,0.0653,0.0691,0.0853,0.1217,0.1285,62045.0,62875.0,64020.0,124622.0,125835.0,125434.0,5848.0,7267.0,9307.0,61164.0,63938.0,60223.0,11499.0,9990.0,9205.0,,,,36077.0,39263.0,40011.0,1540790.0,1563370.0,1582119.0,265902.963437,282890.0,294442.0,343819.788943,346038.367783,348427.630746,,,,134661.0,133681.0,139309.0,253472.0,243275.0,,48146.0,48141.0,47823.0,0.09,0.073,0.059,220282.406243,220033.771078,214362.749217,0.564952063684,0.567172440383,0.587705888546,2014,SEP,3.0,2014-09-01
Alpine,91.0,111.0,114.0,171.0,180.0,194.0,0.539855072464,0.521594684385,0.514450867052,149.0,157.0,178.0,0.861271676301,0.872222222222,0.908163265306,1.0,1.0,1.0,0.727272727273,0.916666666667,0.789473684211,0.0529,0.0864,0.0785,0.087,0.0,0.08,0.2174,0.1053,0.16,0.2174,0.0,0.04,0.2174,0.0,0.04,84.0,91.0,114.0,147.0,171.0,194.0,9.0,11.0,16.0,53.0,62.0,59.0,2.0,0.0,0.0,,,,0.0,0.0,0.0,1127.0,1228.0,1243.0,292.543627943,369.0,398.0,244.509282571,242.562389451,245.126044024,,,,24.0,25.0,23.0,201.0,184.0,,41.0,42.0,39.0,0.134,0.098,0.088,194.823157895,221.78022827,,0.748969825987,0.701349510542,,2014,SEP,3.0,2014-09-01
Amador,1685.0,1771.0,1770.0,3280.0,3411.0,3373.0,0.487029140014,0.498369742419,0.471686372122,2741.0,3057.0,3032.0,0.833384007297,0.889438463777,0.893078055965,0.97247706422,0.966292134831,1.0,0.944186046512,0.956937799043,0.953216374269,0.0529,0.0864,0.0785,0.1553,0.1356,0.1617,0.2235,0.2156,0.2298,0.1894,0.2489,0.2532,0.2082,0.2667,0.2851,1717.0,1685.0,1770.0,3287.0,3280.0,3373.0,182.0,194.0,250.0,1230.0,1298.0,1222.0,61.0,69.0,59.0,,,,81.0,98.0,102.0,36899.0,36945.0,37017.0,11710.7713105,11769.0,12078.0,6008.55795106,5919.40380913,5806.44493987,,,,507.0,484.0,559.0,4522.0,4116.0,,654.0,674.0,696.0,0.116,0.103,0.083,4236.60312105,4989.42328701,,0.766750288816,0.657044419504,,2014,SEP,3.0,2014-09-01
Butte,14733.0,15212.0,15571.0,30211.0,30559.0,31036.0,0.441744161341,0.451418917872,0.435222672065,27029.0,29126.0,29670.0,0.870807693547,0.925810553083,0.932784205231,0.96018735363,0.885652642934,0.937346437346,0.939010356732,0.899946495452,0.941656942824,0.0529,0.0864,0.0785,0.1318,0.1368,0.1359,0.2009,0.2121,0.2085,0.1774,0.2846,0.2806,0.1958,0.3151,0.3044,13988.0,14733.0,15571.0,29226.0,30211.0,31036.0,842.0,1116.0,1577.0,12905.0,13523.0,12850.0,1187.0,1063.0,878.0,,,,2929.0,2782.0,2667.0,221118.0,222035.0,224518.0,49667.3349056,51734.0,53940.0,45991.9295852,45459.1290451,45265.6051079,,,,5475.0,4375.0,5637.0,51266.0,47746.0,,10828.0,10914.0,10866.0,0.12,0.103,0.087,56950.0713521,57536.0654571,54488.4573357,0.511543110922,0.520653669978,0.566930468895,2014,SEP,3.0,2014-09-01
Calaveras,2576.0,2685.0,2768.0,4969.0,5094.0,5231.0,0.48047518231,0.505249343832,0.495279146141,4085.0,4620.0,4826.0,0.823422697037,0.90234375,0.91557579207,0.98,0.958333333333,1.0,0.986440677966,0.963709677419,0.968531468531,0.0529,0.0864,0.0785,0.1062,0.1083,0.0976,0.1884,0.172,0.1816,0.1669,0.2038,0.1599,0.1909,0.2197,0.1883,2522.0,2576.0,2768.0,4998.0,4969.0,5231.0,278.0,322.0,437.0,1881.0,1808.0,1778.0,66.0,103.0,88.0,,,,148.0,134.0,133.0,45045.0,45214.0,45508.0,14457.6823928,15224.0,15719.0,8279.80904997,7993.1633063,7801.21040307,,,,559.0,410.0,598.0,6850.0,6097.0,,1023.0,1043.0,1056.0,0.129,0.1,0.081,5990.38152211,6021.95863538,,0.830651044229,0.824271233542,,2014,SEP,3.0,2014-09-01
Colusa,713.0,752.0,725.0,1710.0,1810.0,1722.0,0.284806679978,0.272053143828,0.245230407984,1569.0,1761.0,1671.0,0.878991596639,0.950863930886,0.936659192825,1.0,0.676470588235,0.818181818182,0.957746478873,0.959459459459,0.9375,0.0529,0.0864,0.0785,0.1341,0.0562,0.0783,0.1993,0.1205,0.1521,0.1775,0.2932,0.3687,0.221,0.3293,0.4101,701.0,713.0,725.0,1728.0,1710.0,1722.0,39.0,72.0,84.0,1055.0,1032.0,1004.0,108.0,164.0,142.0,,,,598.0,553.0,570.0,21614.0,21987.0,22254.0,3794.18876584,4033.0,4198.0,6173.21146509,6106.33361411,6114.10601679,,,,3235.0,2986.0,3111.0,4695.0,4193.0,,556.0,564.0,563.0,0.201,0.19,0.175,4435.38528124,3770.96131854,,0.389049253654,0.461131511044,,2014,SEP,3.0,2014-09-01
Contra Costa,32730.0,34921.0,35280.0,67763.0,71884.0,76061.0,0.326079455836,0.343355239433,0.339581418555,52924.0,63793.0,64658.0,0.74802125735,0.880498543843,0.883631940743,0.949928469242,0.95197740113,0.934631432545,0.792150359315,0.858035207269,0.827063740857,0.04019999999999999,0.0407,0.0382,0.0925,0.08,0.087,0.1782,0.1442,0.1571,0.0331,0.0585,0.0632,0.0608,0.0932,0.1038,32977.0,32730.0,35280.0,68789.0,67763.0,76061.0,2515.0,3064.0,3876.0,35507.0,36829.0,36150.0,6651.0,5449.0,5317.0,,,,15201.0,15787.0,16078.0,1069803.0,1081862.0,1095476.0,205602.70448,215513.0,223639.0,255890.305193,253745.815595,251862.317762,,,,66528.0,66244.0,68215.0,143428.0,131952.0,,23603.0,24041.0,24288.0,0.09,0.075,0.062,135136.625367,145292.779558,129295.012429,0.507232956381,0.470679711987,0.571433488517,2014,SEP,3.0,2014-09-01
Del Norte,2525.0,2511.0,2545.0,5132.0,5175.0,5227.0,0.485825578879,0.493178372916,0.48060740884,4490.0,4880.0,4969.0,0.870830100853,0.94591975189,0.953925897485,1.0,1.0,0.990990990991,0.983673469388,0.952380952381,0.956730769231,0.0529,0.0864,0.0785,0.1862,0.1622,0.1931,0.2524,0.2342,0.2541,0.197,0.3946,0.3069,0.2227,0.4108,0.3333,2629.0,2525.0,2545.0,5445.0,5132.0,5227.0,157.0,193.0,238.0,2343.0,2218.0,2130.0,173.0,167.0,139.0,,,,285.0,262.0,223.0,28359.0,28530.0,28477.0,5913.46322918,6153.0,6387.0,5778.23278036,5697.85295788,5654.65491278,,,,549.0,733.0,725.0,8091.0,7460.0,,1869.0,1817.0,1816.0,0.133,0.118,0.102,5695.77379168,5923.47912356,,0.944472199346,0.864310849406,,2014,SEP,3.0,2014-09-01
El Dorado,6397.0,6836.0,6871.0,11765.0,12431.0,12479.0,0.403871075624,0.414458715596,0.398691009301,9661.0,11294.0,11574.0,0.804882112805,0.884971007679,0.89839323139,0.995433789954,0.988452655889,0.99512195122,0.977099236641,0.825198637911,0.954106280193,0.0529,0.0864,0.0785,0.1232,0.1096,0.1119,0.2074,0.1769,0.19,0.1682,0.2113,0.2081,0.1903,0.2388,0.2438,6081.0,6397.0,6871.0,11620.0,11765.0,12479.0,581.0,732.0,972.0,4822.0,4716.0,4740.0,402.0,417.0,396.0,,,,864.0,882.0,886.0,180599.0,184054.0,184320.0,42806.3715421,46098.0,47929.0,39167.5764207,38275.545249,37664.5428464,,,,3301.0,3580.0,3522.0,19049.0,17413.0,,2818.0,2850.0,2851.0,0.103,0.085,0.07,19222.8583872,26641.3835952,27235.3906697,0.606322419135,0.441067045998,0.456963642793,2014,SEP,3.0,2014-09-01
